"yellow",*
"orange",*
"Dorada",*
5.585234,-74.648178
5.584327,-74.648790
5.584134,-74.648902
5.583990,-74.648940
5.583686,-74.649053
5.582602,-74.649412
5.582383,-74.649476
5.581919,-74.649552
5.581214,-74.649653
5.581075,-74.649680
5.580034,-74.650109
5.579041,-74.650624
5.578625,-74.650839
5.577642,-74.651558
5.577381,-74.651746
5.576697,-74.652019
5.576217,-74.652228
5.575950,-74.652336
5.575795,-74.652384
5.574823,-74.652523
5.574530,-74.652566
5.574049,-74.652491
5.573302,-74.652373
5.573115,-74.652341
5.572858,-74.652239
5.572170,-74.651971
5.571556,-74.651735
5.570878,-74.651520
5.570125,-74.651284
5.569756,-74.651172
5.569623,-74.651145
5.568886,-74.651118
5.568587,-74.651096
5.568454,-74.651080
5.567493,-74.651273
5.567146,-74.651349
5.567034,-74.651349
5.565485,-74.651172
5.564497,-74.651000
5.564220,-74.650930
5.564230,-74.650919
5.562805,-74.650394
5.561961,-74.649916
5.560637,-74.648935
5.559799,-74.648237
5.559334,-74.647856
5.559110,-74.647674
5.558870,-74.647492
5.558502,-74.647239
5.558352,-74.647116
5.558197,-74.647030
5.557775,-74.646864
5.556948,-74.646547
5.556820,-74.646499
5.556200,-74.646344
5.555795,-74.646236
5.555378,-74.646118
5.554978,-74.645995
5.554636,-74.645877
5.554252,-74.645754
5.554027,-74.645662
5.553488,-74.645314
5.553349,-74.645206
5.553216,-74.645126
5.553109,-74.645013
5.552927,-74.644809
5.552340,-74.644117
5.552159,-74.643897
5.551934,-74.643742
5.551459,-74.643372
5.551080,-74.643130
5.550450,-74.642755
5.550204,-74.642599
5.549889,-74.642379
5.549403,-74.641972
5.548736,-74.641376
5.548672,-74.641317
5.548496,-74.641263
5.547684,-74.641001
5.547262,-74.640861
5.546915,-74.640781
5.545880,-74.640448
5.545314,-74.640266
5.544336,-74.640175
5.543541,-74.640089
5.542831,-74.640035
5.541688,-74.640051
5.540759,-74.640078
5.540049,-74.640217
5.539355,-74.640368
5.539264,-74.640389
5.539077,-74.640480
5.538057,-74.641033
5.537961,-74.641086
5.536872,-74.642052
5.536044,-74.642760
5.535163,-74.643474
5.534437,-74.644080
5.533829,-74.644525
5.533412,-74.644825
5.532814,-74.645271
5.532643,-74.645394
5.531645,-74.645888
5.531020,-74.646183
5.530257,-74.646569
5.529226,-74.647105
5.528858,-74.647277
5.527678,-74.648409
5.527026,-74.649047
5.526097,-74.650185
5.525248,-74.651257
5.524896,-74.651767
5.524607,-74.652153
5.524319,-74.652539
5.523956,-74.653307
5.523438,-74.654401
5.523107,-74.655173
5.522941,-74.655629
5.522664,-74.656375
5.522285,-74.657362
5.521852,-74.658768
5.521404,-74.660216
5.521163,-74.660924
5.521131,-74.661064
5.520464,-74.662582
5.520128,-74.663392
5.519941,-74.663815
5.519802,-74.664170
5.519519,-74.664824
5.519263,-74.665478
5.519006,-74.666203
5.518739,-74.666938
5.518478,-74.667807
5.518259,-74.668499
5.518173,-74.668831
5.517858,-74.669432
5.517634,-74.669840
5.517319,-74.670258
5.516924,-74.670811
5.516806,-74.670918
5.516390,-74.671315
5.515215,-74.672313
5.514158,-74.673557
5.512620,-74.674244
5.511424,-74.674244
5.509374,-74.673729
5.502539,-74.670639
5.501001,-74.669781
5.498609,-74.668751
5.496217,-74.667892
5.493483,-74.667721
5.492286,-74.667377
5.490407,-74.667892
5.489382,-74.668064
5.487673,-74.667377
5.485793,-74.666519
5.485596,-74.666417
5.485441,-74.666358
5.485281,-74.666315
5.485142,-74.666278
5.484319,-74.666052
5.483097,-74.665763
5.482194,-74.665580
5.481281,-74.665377
5.480475,-74.665205
5.479626,-74.665039
5.478649,-74.664856
5.478077,-74.664738
5.476956,-74.664609
5.475920,-74.664486
5.474932,-74.664357
5.474670,-74.664347
5.474088,-74.664293
5.473175,-74.664229
5.472123,-74.664159
5.470927,-74.664094
5.469763,-74.664030
5.468722,-74.663971
5.467563,-74.663891
5.466190,-74.663783
5.465875,-74.663778
5.465122,-74.663649
5.463670,-74.663365
5.462372,-74.663123
5.461149,-74.662834
5.459921,-74.662544
5.458789,-74.662233
5.458228,-74.662094
5.457630,-74.661857
5.456648,-74.661471
5.455927,-74.661182
5.455649,-74.661101
5.455200,-74.660994
5.454346,-74.660742
5.453177,-74.660420
5.452344,-74.660178
5.451810,-74.660001
5.451660,-74.659969
5.451468,-74.659873
5.450848,-74.659508
5.449951,-74.658982
5.449780,-74.658891
5.448755,-74.657663
5.448370,-74.657137
5.447804,-74.656268
5.447639,-74.655973
5.447238,-74.655088
5.446897,-74.654320
5.446763,-74.654052
5.446608,-74.653805
5.445973,-74.652776
5.444905,-74.651965
5.444809,-74.651901
5.444226,-74.651778
5.443890,-74.651724
5.443409,-74.651590
5.442993,-74.651461
5.442982,-74.651461
5.442918,-74.651569
5.442694,-74.652121
5.442486,-74.652362
5.441877,-74.653017
5.441257,-74.654122
5.441129,-74.654358
5.441044,-74.654503
5.441001,-74.654578
5.440990,-74.654610
5.440825,-74.656262
5.440803,-74.656568
5.440793,-74.656675
5.440851,-74.657754
5.440883,-74.658355
5.440926,-74.659132
5.440932,-74.659728
5.440948,-74.660511
5.440964,-74.661235
5.440990,-74.661911
5.441017,-74.662984
5.441054,-74.664132
5.441092,-74.664958
5.441145,-74.666122
5.441183,-74.667023
5.441236,-74.668171
5.441332,-74.669341
5.441396,-74.670049
5.441407,-74.670505
5.441434,-74.671792
5.441444,-74.671921
5.440691,-74.673858
5.440205,-74.674399
5.439677,-74.674968
5.438673,-74.675671
5.438347,-74.675907
