"#FE2E64",*
"#FE2E64",*
"Villamaria",*
4.97910118103039,-75.6203994750977
4.98029994964594,-75.6163024902344
4.98199987411505,-75.6060028076172
4.98589992523199,-75.5904006958007
4.99050188064587,-75.5840988159179
5.00199985504156,-75.5759963989257
5.00960111618048,-75.5759963989257
5.0198998451234,-75.5743026733398
5.02510118484497,-75.5598983764648
5.02969980239874,-75.5484008789061
5.0267009735108,-75.5263977050781
5.01500177383417,-75.5045013427734
5.01270008087158,-75.4895019531249
5.00970077514654,-75.4671020507811
5.01080179214483,-75.4589996337891
5.01649999618536,-75.4400024414061
5.01179981231695,-75.4215011596679
5.00819921493525,-75.4030990600584
5.00640106201183,-75.3852005004883
5.00930023193354,-75.3707962036133
5.01500177383417,-75.3656005859374
5.0225009918214,-75.3627014160156
5.02650117874146,-75.3563995361328
5.01500177383417,-75.3482971191406
5.00170087814337,-75.3482971191406
4.99360084533697,-75.3448028564453
4.98380088806158,-75.3466033935547
4.96760082244867,-75.3535003662109
4.95380115509033,-75.3587036132811
4.94449996948254,-75.3615036010742
4.93998908996582,-75.3620834350584
4.92840003967291,-75.3638000488281
4.91219997406,-75.3627014160156
4.90870094299316,-75.3615036010742
4.90180015563971,-75.3598022460936
4.89080095291138,-75.3569030761719
4.88500022888189,-75.353401184082
4.88149976730352,-75.353401184082
4.87400102615351,-75.353401184082
4.86479997634899,-75.3551025390624
4.85149908065802,-75.3545989990234
4.84579896926886,-75.3585968017578
4.83890008926403,-75.3677978515624
4.8360009193421,-75.3793029785156
4.83489990234381,-75.3862991333007
4.83150005340582,-75.3948974609374
4.8188009262085,-75.4052963256834
4.81189918518078,-75.4122009277344
4.80550003051752,-75.4132995605468
4.80270099639893,-75.421401977539
4.80670118331909,-75.4231033325195
4.81540012359619,-75.4236984252929
4.82700109481806,-75.4306030273438
4.8392009735108,-75.4450988769531
4.85080003738409,-75.4600982666015
4.86240005493164,-75.4749984741209
4.87460088729864,-75.4849014282226
4.89139986038219,-75.4974975585936
4.9105019569397,-75.5188980102539
4.91580104827892,-75.5338973999023
4.92110013961798,-75.5483016967773
4.92290019989019,-75.5718994140624
4.92410087585455,-75.5822982788084
4.92480087280279,-75.6047973632811
4.92480087280279,-75.6163024902344
4.92660093307501,-75.6192016601561
4.9352011680603,-75.6209030151367
4.94910097122192,-75.6267013549805
4.95890092849731,-75.6272964477538
4.97219991683971,-75.6272964477538
4.97910118103039,-75.6203994750977
