"#FE9A2E",*
"#FE9A2E",*
"Neira",*
5.27519989013666,-75.7076034545898
5.26949977874756,-75.7070007324219
5.26190090179449,-75.6913986206054
5.25439977645885,-75.6885986328124
5.2376008033753,-75.6834030151367
5.22890090942394,-75.6781997680664
5.22249889373779,-75.6707000732421
5.22009897232067,-75.6511001586914
5.21780014038092,-75.6395034790038
5.21199893951422,-75.6332015991209
5.20669984817516,-75.6250991821288
5.20380115509033,-75.6095962524414
5.20549917221081,-75.6020965576172
5.20769882202154,-75.5887985229492
5.20940113067633,-75.5766983032227
5.21170091629034,-75.5616989135741
5.21390008926403,-75.5432968139647
5.21550178527843,-75.5139007568359
5.21369981765741,-75.4919967651367
5.21710014343267,-75.4723968505859
5.22109985351568,-75.4630966186523
5.21679878234869,-75.415298461914
5.2202000617981,-75.3996963500977
5.21390008926403,-75.402000427246
5.2056999206543,-75.3876037597656
5.19819879531866,-75.3795013427734
5.17959880828863,-75.3656997680663
5.16000080108648,-75.3656997680663
5.13980102539062,-75.3628005981445
5.12760114669811,-75.3559036254883
5.11429977416987,-75.3529968261719
5.09700107574469,-75.3541030883789
5.10110092163097,-75.3650970458984
5.09709882736217,-75.3852996826172
5.09600019454956,-75.4013977050781
5.10069990158092,-75.4209976196288
5.10080003738403,-75.4446029663085
5.10150003433222,-75.4630966186523
5.10620021820068,-75.4746017456054
5.11369991302496,-75.4885025024414
5.11090087890631,-75.5127029418945
5.11269998550426,-75.524803161621
5.119700908661,-75.5369033813475
5.13190078735352,-75.5495986938477
5.14230108261108,-75.5594024658203
5.14940118789679,-75.5801010131834
5.15630006790167,-75.594497680664
5.14950084686285,-75.6118011474609
5.14320087432861,-75.6308975219727
5.14669990539551,-75.6470031738281
5.15370082855225,-75.6625976562499
5.15549993515015,-75.6706008911132
5.15379905700695,-75.6827011108398
5.15209913253784,-75.690803527832
5.160800933838,-75.6942977905273
5.17239904403698,-75.7029037475584
5.18170118331915,-75.7294006347656
5.19269990921026,-75.7329025268555
5.20200109481812,-75.7317962646484
5.21640014648449,-75.731201171875
5.22969913482666,-75.7288970947266
5.2435998916626,-75.7329025268555
5.25570011138922,-75.7259979248046
5.26430082321161,-75.716796875
5.26949977874756,-75.7134017944334
5.27519989013666,-75.7076034545898
