"black",*
"black",*
"Belalcazar",45
5.0324010848999,-75.7841033935547
5.0301017761231,-75.7910003662109
5.02490091323858,-75.7967987060547
5.01629877090465,-75.8053970336914
5.00589895248419,-75.8124008178709
4.99730014801037,-75.8180999755859
4.98979997634888,-75.8313980102538
4.9812002182008,-75.8324966430664
4.97080087661755,-75.8324966430664
4.95919990539545,-75.8370971679686
4.95289993286144,-75.8416976928709
4.94479990005499,-75.8341979980469
4.93719911575329,-75.8187026977538
4.92909908294683,-75.8134994506835
4.92220020294195,-75.8112030029297
4.91750097274786,-75.8116989135742
4.91760110855114,-75.8203964233398
4.91650009155285,-75.8376998901367
4.91709995269781,-75.8498001098632
4.91660118103027,-75.859001159668
4.9148998260498,-75.868797302246
4.9148998260498,-75.8774032592773
4.91960000991821,-75.8942031860352
4.92080116271984,-75.9067993164061
4.94444894790655,-75.9005508422852
4.95200014114386,-75.8929977416992
4.96469879150391,-75.8936004638672
4.98089981079107,-75.8953018188477
4.99360084533697,-75.8976974487305
5.00170087814337,-75.8982009887695
5.00449991226202,-75.8925018310546
5.0103001594544,-75.8850021362305
5.01429986953735,-75.8768997192383
5.02290010452271,-75.8659973144531
5.03840017318737,-75.8520965576171
5.05109882354742,-75.8395004272459
5.05279922485357,-75.8296966552734
5.05090093612682,-75.8037033081055
5.04160022735601,-75.7882003784179
5.03819894790649,-75.7846984863281
5.0324010848999-75.7841033935547
