"#AC58FA",*
"#AC58FA",*
"Marmato",19
5.51480102539062,-75.6703033447265
5.51770019531256,-75.6679992675781
5.51940011978144,-75.6593017578125
5.51989889144897,-75.6523971557616
5.51870012283325,-75.633903503418
5.51290178298962,-75.623596191406
5.5150990486145,-75.6143035888672
5.5006999969483,-75.6201019287109
5.48970079421997,-75.6177978515625
5.47879981994629,-75.6166000366209
5.47069978713984,-75.6166000366209
5.46140098571783,-75.6166000366209
5.4568009376527,-75.6159973144531
5.44759988784796,-75.6188964843749
5.43720102310181,-75.6218032836914
5.43320083618175,-75.6258010864258
5.436598777771,-75.6315994262695
5.44130086898804,-75.6344985961914
5.44879913330078,-75.6408004760742
5.45750093460094,-75.6454010009765
5.4662008285523,-75.6529006958008
5.47259998321533,-75.6604003906249
5.47669982910162,-75.6673965454102
5.48010110855097,-75.6685028076171
5.4893999099732,-75.6697006225585
5.50030088424683,-75.6690979003906
5.51480102539062,-75.6703033447265
