"#393B0B",*
"#393B0B",*
"Palestina",22
5.12280082702637,-75.7287979125977
5.12400007247936,-75.7236022949218
5.12680101394659,-75.7184982299805
5.12850093841547,-75.7115020751953
5.12160015106201,-75.7058029174804
5.11579895019531,-75.6999969482422
5.10540008544933,-75.7012023925781
5.09380102157604,-75.7052001953124
5.08629989624023,-75.7058029174804
5.08050012588507,-75.6977005004883
5.07299900054943,-75.6856002807617
5.05270099639904,-75.6716995239258
5.05149984359747,-75.6589965820311
5.04389905929577,-75.6492004394531
5.03929996490479,-75.6440963745116
5.03230094909679,-75.6360015869141
5.02309989929205,-75.6324996948242
5.00689983367914,-75.6313018798828
5.00110006332397,-75.6360015869141
5.00519990921026,-75.638298034668
5.00349903106701,-75.6435012817382
4.99889993667603,-75.6567001342773
4.99319982528687,-75.6688003540038
4.99319982528687,-75.678596496582
4.99619913101191,-75.6976013183593
5.00150108337402,-75.7115020751953
5.0090007781983,-75.7247009277344
5.02410078048706,-75.7379989624023
5.03330087661749,-75.7379989624023
5.04659986495972,-75.7386016845703
5.05130004882812,-75.7425994873046
5.06570196151739,-75.7369003295898
5.06969881057745,-75.731101989746
5.07600116729731,-75.730499267578
5.0876002311706,-75.7322998046874
5.09450101852428,-75.7340011596679
5.10550022125244,-75.7362976074218
5.11530017852783,-75.7316970825195
5.12280082702637,-75.7287979125977
