"pink",*
"pink",*
"Aranzazu",23
5.33169984817505,-75.5421981811523
5.33230113983149,-75.5335006713867
5.33390092849731,-75.5203018188476
5.32469987869257,-75.5121994018554
5.30670022964489,-75.5007019042969
5.2933988571167,-75.4879989624023
5.28179979324341,-75.4776000976561
5.27310085296631,-75.4689025878906
5.27009916305541,-75.4580001831054
5.26719999313354,-75.4401016235351
5.25040102004999,-75.4319992065429
5.24289989471436,-75.4240036010742
5.23190116882324,-75.4216003417968
5.22089910507202,-75.415298461914
5.2202000617981,-75.3996963500977
5.21679878234869,-75.415298461914
5.22109985351568,-75.4630966186523
5.21710014343267,-75.4723968505859
5.21369981765741,-75.4919967651367
5.21550178527843,-75.5139007568359
5.21390008926403,-75.5432968139647
5.21170091629034,-75.5616989135741
5.20940113067633,-75.5766983032227
5.20769882202154,-75.5887985229492
5.21410083770752,-75.592300415039
5.2186999320985,-75.5962982177734
5.23089981079102,-75.5969009399414
5.24010086059576,-75.591697692871
5.25099992752081,-75.5779037475584
5.25899982452398,-75.5594024658203
5.26699876785284,-75.5416030883789
5.27969884872442,-75.5300979614257
5.28719902038574,-75.5317993164061
5.29699993133539,-75.5381011962891
5.30579900741577,-75.550796508789
5.31389999389654,-75.5606002807617
5.31789922714245,-75.5628967285156
5.31789922714245,-75.5566024780273
5.32359981536877,-75.5445022583007
5.33169984817505,-75.5421981811523
