"orange",*
"orange",*
"La Dorada",36
5.6826000213623,-74.7698974609375
5.68310117721563,-74.7652969360352
5.69000005722052,-74.7577972412109
5.70500183105474,-74.754997253418
5.71600103378306,-74.7474975585938
5.73150110244757,-74.741096496582
5.74249982833868,-74.7337036132811
5.75980091094971,-74.7227020263672
5.76259994506847,-74.7152023315429
5.76259994506847,-74.7048034667968
5.7620000839234,-74.698501586914
5.75269889831554,-74.6949996948241
5.75100088119518,-74.6847000122069
5.75839900970465,-74.6765975952147
5.74629878997803,-74.6753997802734
5.73990011215221,-74.6731033325195
5.7388010025025,-74.6765975952147
5.72900104522711,-74.6822967529296
5.72500085830694,-74.6835021972656
5.71750020980834,-74.685203552246
5.71049880981457,-74.6789016723633
5.70470094680798,-74.6776962280273
5.69549989700323,-74.6793975830078
5.68909978866589,-74.6765975952147
5.68330001831055,-74.6696014404296
5.66820001602179,-74.6489028930663
5.66190099716187,-74.6568984985352
5.65440177917486,-74.659797668457
5.64110088348383,-74.6592025756834
5.63190078735357,-74.661003112793
5.60930109024059,-74.6632995605469
5.59779977798462,-74.6679000854492
5.58450078964239,-74.6725006103516
5.56840181350708,-74.6804962158203
5.55690097808849,-74.6850967407227
5.54590177536011,-74.6746978759766
5.5349001884461,-74.6713027954102
5.51470088958752,-74.6810989379883
5.49970197677618,-74.6862030029296
5.48070001602179,-74.6925964355468
5.46390104293829,-74.6908035278319
5.44540119171154,-74.6902999877929
5.42580080032354,-74.6850967407227
5.42459917068493,-74.6832962036133
5.421700000763,-74.6856002807617
5.42119884490967,-74.690200805664
5.42230176925671,-74.6930999755859
5.42580080032354,-74.6953964233398
5.42580080032354,-74.701202392578
5.41950082778931,-74.7017974853516
5.40440177917486,-74.6977005004883
5.39629888534557,-74.6970977783202
5.38600015640264,-74.7029037475584
5.38540077209478,-74.7162017822266
5.37970018386841,-74.7184982299805
5.37160015106201,-74.717300415039
5.36579990386974,-74.7149963378906
5.35770177841192,-74.717903137207
5.3543000221253,-74.7230987548828
5.35029983520508,-74.7300033569334
5.33580017089855,-74.7294006347656
5.32310009002697,-74.7340011596679
5.31220197677618,-74.7397994995117
5.2873997688294,-74.747200012207
5.28109788894659,-74.7553024291992
5.27880096435558,-74.761100769043
5.27650117874157,-74.7650985717772
5.27299785614014,-74.7657012939453
5.27660083770763,-74.7835006713866
5.27829885482794,-74.7974014282226
5.28069877624512,-74.8134994506835
5.28080177307129,-74.8209991455078
5.2813987731933,-74.8399963378906
5.28200101852428,-74.8441009521484
5.29010105133051,-74.8504028320311
5.29820108413696,-74.8480987548828
5.30569887161266,-74.8470001220703
5.32010078430176,-74.8405990600584
5.32880115509039,-74.8377990722656
5.33920001983637,-74.8342971801757
5.35349988937378,-74.8221969604492
5.36910009384155,-74.8245010375976
5.3818998336792,-74.8251037597656
5.39510107040411,-74.8188018798828
5.40080118179321,-74.8078002929686
5.41409921646112,-74.8009033203125
5.42910099029552,-74.7835998535155
5.44520092010492,-74.7738037109375
5.45040178298945,-74.7750015258788
5.46140098571783,-74.7807998657226
5.47179985046381,-74.7739028930664
5.47749996185314,-74.7629013061522
5.48500108718878,-74.7583007812499
5.50400018692028,-74.7501983642578
5.52310085296642,-74.7519989013671
5.53870010375971,-74.7605972290038
5.5444998741151,-74.7611999511719
5.55309915542614,-74.7605972290038
5.56059980392467,-74.7531967163085
5.56180095672607,-74.7652969360352
5.55610084533697,-74.7797012329102
5.55440092086803,-74.7951965332031
5.55270099639893,-74.8032989501953
5.55509996414179,-74.8177032470703
5.57999992370605,-74.8343963623046
5.59210014343273,-74.8274993896484
5.59380006790161,-74.8218002319335
5.60300111770636,-74.8102035522459
5.60989999771124,-74.8032989501953
5.62720108032221,-74.7982025146484
5.63580179214478,-74.782600402832
5.64790010452264,-74.7727966308593
5.67269897460938,-74.7665023803709
5.6826000213623,-74.7698974609375
