"yellow",*
"yellow",*
"Anserma",35
5.27519989013666,-75.8005905151367
5.27449989318848,-75.7968978881835
5.27099895477301,-75.7893981933594
5.26510095596313,-75.7772979736328
5.25930118560797,-75.769302368164
5.24940013885504,-75.7565994262695
5.24879789352423,-75.7497024536133
5.25050115585327,-75.7444992065429
5.25220108032221,-75.7347030639648
5.25570011138922,-75.7259979248046
5.2435998916626,-75.7329025268555
5.22969913482666,-75.7288970947266
5.21640014648449,-75.731201171875
5.20200109481812,-75.7317962646484
5.19269990921026,-75.7329025268555
5.18170118331915,-75.7294006347656
5.17239904403698,-75.7029037475584
5.160800933838,-75.6942977905273
5.15209913253784,-75.690803527832
5.14580011367809,-75.689697265625
5.14000082015997,-75.6983032226561
5.13490104675304,-75.7052001953124
5.12850093841547,-75.7115020751953
5.12680101394659,-75.7184982299805
5.12400007247936,-75.7236022949218
5.12280082702637,-75.7287979125977
5.12920093536371,-75.731101989746
5.13380002975475,-75.7358016967773
5.14489889144897,-75.7479019165039
5.16339921951294,-75.7629013061523
5.17439985275269,-75.7668991088867
5.17850112915045,-75.7772979736328
5.17220115661621,-75.7985992431641
5.16880083084112,-75.8031997680664
5.1601991653443,-75.8221969604492
5.15450096130377,-75.8355026245116
5.14580011367809,-75.8413009643554
5.13599920272821,-75.8476028442382
5.13090085983282,-75.8631973266602
5.13560009002697,-75.8747024536133
5.1343989372254,-75.8809967041016
5.14190006256098,-75.8787002563475
5.15120077133179,-75.8769989013672
5.16039991378796,-75.869499206543
5.17420005798351,-75.8602981567382
5.18750095367432,-75.8510971069335
5.19610023498535,-75.8488006591797
5.21290016174316,-75.8516998291015
5.2227001190185,-75.8539962768554
5.2418007850647,-75.8569030761719
5.26199913024902,-75.864402770996
5.26640892028809,-75.8655014038085
5.27360010147106,-75.867301940918
5.27699995040888,-75.8585968017578
5.27699995040888,-75.8556976318359
5.27810096740717,-75.8477020263671
5.27810096740717,-75.8424987792969
5.27860021591192,-75.8320999145508
5.27689981460577,-75.8199996948242
5.27560091018677,-75.8026962280272
5.27519989013666,-75.8005905151367
