"#40FF00",*
"#40FF00",*
"Manzanares",*
5.25322008132935,-75.0943069458007
5.24039983749395,-75.1057968139648
5.2231011390686,-75.1155014038085
5.20580005645758,-75.1248016357421
5.18040084838873,-75.1362991333008
5.16720104217535,-75.1448974609375
5.1532998085022,-75.1507034301758
5.14930009841925,-75.1558990478515
5.14529991149902,-75.1622009277343
5.14529991149902,-75.1661987304686
5.14589977264416,-75.1765975952148
5.15289878845215,-75.1840972900391
5.1545991897583,-75.1869964599609
5.1545991897583,-75.1899032592773
5.15469980239862,-75.1961975097656
5.16970109939575,-75.2078018188477
5.17550086975098,-75.2128982543945
5.17389917373657,-75.2331008911133
5.17860078811651,-75.2445983886718
5.20629882812511,-75.2481002807617
5.22080087661749,-75.2591018676757
5.22660017013561,-75.2758026123047
5.23460197448736,-75.2538986206055
5.24039983749395,-75.2481002807617
5.24960088729864,-75.250503540039
5.24669885635387,-75.2434997558594
5.24669885635387,-75.238296508789
5.24780178070074,-75.2296981811523
5.25700092315668,-75.2146987915039
5.26680088043224,-75.21240234375
5.27080106735224,-75.197998046875
5.27600002288818,-75.1921997070311
5.28629922866833,-75.1871032714844
5.29260110855097,-75.1726989746093
5.29490089416504,-75.1594009399414
5.27930021286016,-75.1657028198242
5.27360010147106,-75.1691970825195
5.26490020751947,-75.1679992675781
5.27229785919189,-75.1507034301758
5.27339887619019,-75.1415023803709
5.27460002899176,-75.1345977783203
5.26870012283331,-75.1231002807617
5.26170015335083,-75.1039962768554
5.25322008132935,-75.0943069458007
