"#FE2E64",*
"#FE2E64",*
"Marquetalia",*
5.32369995117188,-75.0066986083984
5.31850099563593,-75.0090026855469
5.31389999389654,-75.0094985961913
5.30350017547602,-75.0101013183594
5.29370021820068,-75.006103515625
5.28669977188116,-75.0048980712891
5.28066110610962,-75.0048980712891
5.28039884567261,-75.0111999511719
5.27810096740717,-75.0251007080078
5.27819919586187,-75.0314025878906
5.27759981155401,-75.0365982055663
5.27310085296631,-75.0515975952148
5.27080106735224,-75.0631027221679
5.25809907913208,-75.0764007568359
5.25700092315668,-75.087303161621
5.25589990615839,-75.0919036865234
5.25322008132935,-75.0943069458007
5.26170015335083,-75.1039962768554
5.26870012283331,-75.1231002807617
5.27460002899176,-75.1345977783203
5.27339887619019,-75.1415023803709
5.27229785919189,-75.1507034301758
5.26490020751947,-75.1679992675781
5.27360010147106,-75.1691970825195
5.27930021286016,-75.1657028198242
5.29490089416504,-75.1594009399414
5.2999992370606,-75.1358032226561
5.30109977722167,-75.1277008056641
5.31090021133429,-75.1127014160156
5.31310176849377,-75.1045989990234
5.31250000000006,-75.0878982543945
5.31709909439093,-75.0757980346679
5.31990098953258,-75.0711975097656
5.3245000839234,-75.0671997070311
5.32049989700323,-75.0579986572266
5.31640005111694,-75.0561981201172
5.31580018997204,-75.0418014526367
5.32200002670299,-75.0227966308594
5.32429885864252,-75.0130004882811
5.32369995117188,-75.0066986083984
