"#AC58FA",*
"#AC58FA",*
"Pensilvania",*
5.52770090103155,-75.1716003417969
5.50520086288464,-75.1641006469726
5.50100088119507,-75.1467971801758
5.48830080032349,-75.1346969604492
5.48540019989025,-75.1249008178709
5.48929977416987,-75.10880279541
5.47600078582769,-75.10880279541
5.4541010856629,-75.10880279541
5.42180109024059,-75.1092987060547
5.39569997787476,-75.1057968139648
5.38819885253912,-75.0874023437499
5.37650108337408,-75.0678024291992
5.36269998550421,-75.0695037841796
5.35690021514904,-75.070701599121
5.3245000839234,-75.0671997070311
5.31990098953258,-75.0711975097656
5.31709909439093,-75.0757980346679
5.31250000000006,-75.0878982543945
5.31310176849377,-75.1045989990234
5.31090021133429,-75.1127014160156
5.30109977722167,-75.1277008056641
5.2999992370606,-75.1358032226561
5.29490089416504,-75.1594009399414
5.29260110855097,-75.1726989746093
5.28629922866833,-75.1871032714844
5.27600002288818,-75.1921997070311
5.27080106735224,-75.197998046875
5.26680088043224,-75.21240234375
5.25700092315668,-75.2146987915039
5.24780178070074,-75.2296981811523
5.24669885635387,-75.238296508789
5.24669885635387,-75.2434997558594
5.24960088729864,-75.250503540039
5.2578010559082,-75.2591018676757
5.26469993591309,-75.2626037597656
5.28429985046381,-75.2608032226561
5.29010105133051,-75.2550964355468
5.30050086975103,-75.2580032348633
5.30630111694342,-75.2655029296875
5.31789922714245,-75.2741012573242
5.31910085678106,-75.2891006469727
5.32029914855957,-75.3001022338867
5.32669878005987,-75.3063964843749
5.32669878005987,-75.3173980712891
5.32960081100464,-75.3184967041015
5.33370113372814,-75.3294982910156
5.34760093688976,-75.3347015380859
5.3510999679566,-75.3415985107422
5.36320018768305,-75.3432998657226
5.37300014495861,-75.3323974609375
5.38049983978271,-75.3255004882811
5.38679981231695,-75.3190994262695
5.3948998451234,-75.3186035156249
5.40700006484985,-75.318000793457
5.41450119018566,-75.3173980712891
5.42779922485357,-75.3202972412109
5.43880081176758,-75.3277969360352
5.44929790496832,-75.3365020751953
5.45800018310553,-75.3398971557617
5.4568009376527,-75.3365020751953
5.45730018615728,-75.3231964111328
5.46019983291625,-75.3134002685547
5.46009922027588,-75.3030014038085
5.45830106735229,-75.2880020141602
5.46000099182135,-75.2863006591797
5.46460103988647,-75.2742004394531
5.47319984436047,-75.2546005249023
5.49109983444208,-75.2471008300781
5.5124011039735,-75.2350006103516
5.51690006256104,-75.219497680664
5.51800107955933,-75.2044982910156
5.52029991149902,-75.1923980712891
5.52260017395031,-75.1797027587891
5.52770090103155,-75.1716003417969
