"#AEB404",*
"#AEB404",*
"La Merced",44
5.43289995193481,-75.5567016601561
5.42710018157965,-75.5531997680663
5.41610097885132,-75.548599243164
5.41150093078619,-75.548599243164
5.38950109481812,-75.5560989379883
5.37860012054443,-75.5542984008789
5.36009979248047,-75.5485000610352
5.34789991378796,-75.5467987060546
5.33750009536743,-75.5432968139647
5.33169984817505,-75.5421981811523
5.32359981536877,-75.5445022583007
5.31789922714245,-75.5566024780273
5.31789922714245,-75.5628967285156
5.32550001144409,-75.5674972534179
5.33470106124884,-75.5721969604492
5.34050178527832,-75.5727005004883
5.34400177001964,-75.5733032226561
5.34980010986328,-75.5727005004883
5.35550117492687,-75.5762023925781
5.3537998199464,-75.5791015625
5.34919881820679,-75.5871963500977
5.34000015258789,-75.5980987548828
5.33599996566772,-75.6044006347656
5.33549880981451,-75.6108016967773
5.34190082550049,-75.6166000366209
5.34709978103643,-75.6229019165038
5.35579919815075,-75.6304016113281
5.36219882965082,-75.6436996459959
5.36850118637091,-75.6408004760742
5.38240098953253,-75.6343994140625
5.38990020751959,-75.6309967041015
5.40599918365484,-75.6240997314453
5.41520023345959,-75.6223983764648
5.42040109634394,-75.6223983764648
5.42849922180181,-75.6212005615234
5.43720102310181,-75.6218032836914
5.43139982223505,-75.6148986816406
5.43019914627075,-75.6033020019531
5.42660093307506,-75.5866012573242
5.42719984054571,-75.5745010375977
5.43289995193481,-75.5567016601561
