"#2A1B0A",*
"#2A1B0A",*
"Victoria",*
5.57999992370605,-74.8343963623046
5.55509996414179,-74.8177032470703
5.55270099639893,-74.8032989501953
5.55440092086803,-74.7951965332031
5.55610084533697,-74.7797012329102
5.56180095672607,-74.7652969360352
5.56059980392467,-74.7531967163085
5.55309915542614,-74.7605972290038
5.5444998741151,-74.7611999511719
5.53870010375971,-74.7605972290038
5.52310085296642,-74.7519989013671
5.50400018692028,-74.7501983642578
5.48500108718878,-74.7583007812499
5.47749996185314,-74.7629013061522
5.47179985046381,-74.7739028930664
5.46140098571783,-74.7807998657226
5.45040178298945,-74.7750015258788
5.44520092010492,-74.7738037109375
5.42910099029552,-74.7835998535155
5.41409921646112,-74.8009033203125
5.40080118179321,-74.8078002929686
5.39510107040411,-74.8188018798828
5.3818998336792,-74.8251037597656
5.36910009384155,-74.8245010375976
5.35349988937378,-74.8221969604492
5.33920001983637,-74.8342971801757
5.32880115509039,-74.8377990722656
5.32010078430176,-74.8405990600584
5.30569887161266,-74.8470001220703
5.29820108413696,-74.8480987548828
5.29010105133051,-74.8504028320311
5.29010105133051,-74.8555984497069
5.29080104827875,-74.8647994995117
5.29139995574957,-74.8764038085938
5.29150009155268,-74.8912963867188
5.28690099716187,-74.9005966186523
5.28170013427734,-74.909797668457
5.28120088577276,-74.9247970581055
5.28130102157604,-74.9477996826171
5.28130102157604,-74.9598999023436
5.28080177307129,-74.9731979370117
5.28090000152599,-74.9865036010742
5.28090000152599,-74.9990997314453
5.28066110610962,-75.0048980712891
5.28669977188116,-75.0048980712891
5.29370021820068,-75.006103515625
5.30350017547602,-75.0101013183594
5.31389999389654,-75.0094985961913
5.31850099563593,-75.0090026855469
5.32369995117188,-75.0066986083984
5.33230113983149,-74.9870986938476
5.3449001312257,-74.965202331543
5.36219882965082,-74.9518966674804
5.37779998779291,-74.9518966674804
5.39449882507336,-74.950798034668
5.4130010604859,-74.9468002319335
5.43550109863287,-74.9432983398438
5.4527988433839,-74.9427032470703
5.4713010787965,-74.9410018920898
5.49320077896124,-74.9375991821288
5.50479984283453,-74.9324035644531
5.5255007743836,-74.9261016845703
5.53649997711193,-74.9157028198242
5.54740190505987,-74.8961029052734
5.55770111083984,-74.880500793457
5.56980085372925,-74.8656005859374
5.57259988784784,-74.8581008911133
5.57540082931524,-74.8448028564453
5.57999992370605,-74.836799621582
5.57999992370605,-74.8343963623046
